ReportDate,DataYM,CompanyCode,CompanyName,Industry,NowRevenue,LastMonthRevenue,LastYearSameMonthRevenue,MonthlyPercent,YearlyPercent,CumulativeNowRevenue,CumulativeLastYearRevenue,CumulativeChangePercent,Comment
1150117,11412,4967,十銓,半導體業,3629683,1617270,1166065,124.4327169,211.2762153,20428449,19938459,2.457511887,遞延訂單正逐步交貨中
1150117,11412,4968,立積,半導體業,311658,310246,297766,0.455122709,4.665408408,3761663,3679348,2.237217029,-
1150117,11412,4976,佳凌,光電業,74364,78564,90290,-5.345959982,-17.63871968,1020255,1128847,-9.619727031,-
1150117,11412,4977,眾達-KY,通信網路業,62352,100807,104794,-38.14715248,-40.50041033,1074975,1091806,-1.541574236,-
1150117,11412,4989,榮科,電子零組件業,290710,229473,158390,26.68592819,83.54062756,2661652,2993614,-11.08900479,主係銅價上漲，造成營收增加。
1150117,11412,4994,傳奇,資訊服務業,108199,96315,105701,12.33868037,2.363269979,1185241,1584132,-25.18041426,-
1150117,11412,4999,鑫禾,電子零組件業,206767,139924,180700,47.77093279,14.42556724,1953351,1957025,-0.187733933,-
1150117,11412,5007,三星,鋼鐵工業,570799,519288,538414,9.919543683,6.014888172,6215530,6819400,-8.855177875,-
1150117,11412,5203,訊連,資訊服務業,211316,207307,179763,1.933846903,17.55255531,2459600,2068359,18.91552675,-
1150117,11412,5215,科嘉-KY,電腦及週邊設備業,225201,231498,223690,-2.720109893,0.675488399,2593521,2705641,-4.143934838,-
1150117,11412,5222,全訊,半導體業,92251,83227,132991,10.8426352,-30.6336519,954334,1301687,-26.68483284,-
1150117,11412,5225,東科-KY,其他電子業,709742,689108,910955,2.994305682,-22.08813827,11039422,12405466,-11.01162987,-
1150117,11412,5234,達興材料,光電業,412283,370260,374460,11.34959218,10.10067831,4629779,4117847,12.43203062,-
1150117,11412,5243,乙盛-KY,光電業,854716,1009668,1031831,-15.34682688,-17.16511716,12000719,13093588,-8.346596823,-
1150117,11412,5244,弘凱,光電業,71002,81281,73924,-12.64625189,-3.952708187,841778,861094,-2.243192962,-
1150117,11412,5258,虹堡,電腦及週邊設備業,915286,701392,861340,30.49564295,6.26303202,7890363,7834220,0.716638032,-
1150117,11412,5269,祥碩,半導體業,1143373,1186446,636289,-3.630422286,79.69397554,13414563,8081071,65.99981611,"因完成收購 Techpoint, Inc.，其營收自合併基準日起納入本公司合併報表，帶動整體營收成長。"
1150117,11412,5283,禾聯碩,電器電纜,541205,412300,555792,31.26485569,-2.624542995,6468990,6417178,0.8073954,-
1150117,11412,5284,jpp-KY,其他,350383,396436,211145,-11.61675529,65.94425632,3755805,2394675,56.83986345,機櫃及電源櫃訂單增長所致
1150117,11412,5285,界霖,半導體業,444486,411384,416104,8.046496704,6.820890931,5348422,5026851,6.397066474,-
1150117,11412,5288,豐祥-KY,電機機械,678521,549014,692347,23.58901594,-1.996975505,6805069,7343358,-7.330284047,-
1150117,11412,5292,華懋,綠能環保,289892,200039,226167,44.91774104,28.17608228,2861243,2247229,27.3231611,本公司完工百分比法係以投入成本為完工進度基礎，各期依工程安排時間不同而產生差異
